agency,debtcode,zip,city,state,offset_count,offset_amt,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,35816,HUNTSVILLE,AL,1,396.38,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,35957,BOAZ,AL,1,6,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,36075,SHORTER,AL,1,2.78,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,36695,MOBILE,AL,1,91,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,36854,VALLEY,AL,1,95.12,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,36869,PHENIX CITY,AL,3,200,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,36912,LISMAN,AL,1,44.67,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,37014,ARRINGTON,TN,1,203,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,37032,CEDAR HILL,TN,1,146.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,37042,CLARKSVILLE,TN,1,146.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,37072,GOODLETTSVILLE,TN,1,7,,,,,,,,,,,,,,,,,,,,
